"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C5";"C_0402";3;"0.01uF";;;
2;"C2,C4,C7,C8,C14,C22,C24,C27";"C_0402";8;"0.1uF";;;
3;"C6,C9,C11,C12,C13,C25";"C_0603";6;"1uF";;;
4;"C10,C31";"C_0603";2;"2.2uF";;;
5;"C15,C16";"C_0402";2;"10pF";;;
6;"C17,C18";"C_0402";2;"24pF";;;
7;"C20";"C_0603";1;"10uF";;;
8;"C23,C26";"C_0402";2;".1uF";;;
9;"C28";"C_0402";1;"10nF(25V)";;;
10;"C29,C30";"C_0603";2;"4.7uF";;;
11;"C32";"C_0402";1;"470pF";;;
12;"microSD_Card";"Micro_SD_WM11190CT";1;"microSD_Card";;;
13;"D1";"R_0603";1;"RED";;;
14;"D2";"B340A";1;"B340A";;;
15;"P1";"FTSH-105-01-F-DV-K";1;"FTSH-105-01-F-DV";;;
16;"P3";"JST_B2B-EH-A(LF)(SN)";1;"JST-2";;;
17;"R1,R15";"R_0402";2;"100";;;
18;"R2,R3,R4,R9,R10,R11,R14";"R_0402";7;"10k";;;
19;"R5,R6";"R_0402";2;"4.7k";;;
20;"R13";"R_0402";1;"330";;;
21;"U1";"TM4C123GH6PMI";1;"TM4C123GH6PM";;;
22;"U3";"LIS331HH";1;"LIS331";;;
23;"U4";"Gyro_L3GD20HTR";1;"L3GD20HTR";;;
24;"U5";"MPL3115A2";1;"MPL3115A2";;;
25;"U6";"MCP73831T-2ACI&slash_OT";1;"MCP73831";;;
26;"U7";"MIC5219-3.3YM5-TR";1;"MIC5219-3.3BM5";;;
27;"Y1";"16MHz_Clock";1;"16Mhz";;;
28;"P2";"USB_Connector_ZX62-B-5PA";1;"USB_OTG";;;
29;"JP1,JP3";"NO_Jumper";2;"Jumper_NO_Small";;;
30;"JP2,JP4";"NC_Jumper";2;"Jumper_NC_Small";;;
31;"C19,C21";"C_1206";2;"10uF";;;
32;"Y2";"Crystal_32768Hz_Radial_Can";1;"32.768kHz";;;
33;"D3";"R_0603";1;"Led_Small";;;
34;"U8,U9";"16x1_Female_Header";2;"CONNHeaderFemale16";;;
35;"Off U11 On";"CSS-1210TB";1;"CSS-1210TB";;;
36;"U10";"SOT563";1;"DMG1029SV-7";;;
